ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MM,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
458.4,24.8,494.65,40.05,614.05,43.3,355.2,884.75,1212.0,312.7,1521.0,59.9,415.15,2024.25,293.05,200.55,1212.1,880.5,2578.5,107.3,29.1,13878.8,254.15,792.45,354.2,203.55,716.8,514.7,181.1,2532.2,79.1,191.85,140.7,326.15,228.3,53.95,1899.25,213.65,151.15,1006.1,546.5,140.05,261.1,497.65,3228.9
494.7,25.05,506.7,37.7,611.05,42.1,348.55,881.25,1194.3,317.45,1453.85,56.95,389.7,1956.5,303.15,216.6,1218.6,835.1,2552.05,115.9,29.1,14109.4,244.05,729.55,358.35,200.6,724.4,507.25,180.85,2560.1,79.7,189.3,143.55,319.95,224.85,51.1,1944.1,196.6,148.45,1008.45,584.25,137.7,263.9,501.75,3487.25
472.95,27.05,516.45,39.0,591.95,41.9,365.9,830.3,1190.3,317.25,1470.35,57.05,397.65,1986.6,316.6,229.7,1187.3,853.85,2559.65,125.2,31.45,7390.75,250.05,778.85,346.75,194.95,755.95,499.3,187.15,2564.6,80.45,204.45,146.75,334.95,230.15,50.45,1871.7,180.9,148.3,1024.5,605.05,138.7,265.6,481.55,3766.25
480.65,29.25,512.55,38.65,611.85,41.45,375.25,792.45,1183.75,320.95,1428.9,55.4,385.4,2062.95,324.4,227.9,1197.55,839.9,2523.75,135.25,34.0,7611.55,249.05,719.2,355.7,210.55,765.15,511.1,197.6,2568.35,79.6,205.4,149.8,338.35,248.5,48.0,1928.6,175.2,144.5,1022.9,608.95,136.2,271.0,475.0,4067.55
460.5,31.6,512.1,37.05,554.95,41.95,382.2,746.75,1173.1,324.85,1366.8,51.55,384.5,1999.2,333.5,237.75,1175.3,772.75,2440.0,146.1,36.75,7221.7,247.2,692.2,361.1,227.4,792.8,507.75,193.6,2549.1,79.9,209.7,146.45,328.15,244.7,45.3,1938.9,179.7,139.35,1045.8,601.15,136.05,277.35,469.2,3805.0
460.3,34.15,502.3,36.05,565.4,41.75,378.95,731.5,1219.5,321.95,1400.25,51.4,365.75,1999.0,350.55,240.95,1146.25,783.2,2326.7,157.8,39.7,7417.4,249.35,701.55,358.2,230.6,796.3,481.95,191.6,2566.4,80.45,215.1,149.1,334.05,246.5,47.1,2094.05,175.3,140.5,1052.05,593.55,134.75,276.3,482.6,4109.4
460.1,36.9,479.0,37.7,549.15,40.7,400.3,731.05,1270.85,320.4,1496.0,55.55,369.1,1996.75,351.4,244.0,1068.95,845.85,2406.95,170.45,42.9,7365.8,262.35,714.05,350.85,222.0,784.2,520.55,195.4,2645.5,80.0,214.65,152.15,340.15,247.5,50.9,2261.45,180.1,141.05,1030.25,617.6,129.1,279.25,470.85,4438.15
456.1,39.85,497.3,37.2,577.1,40.5,381.8,714.15,1243.4,320.0,1490.35,58.85,375.55,2156.5,341.9,225.95,1059.25,873.35,2437.9,156.85,41.25,7440.8,259.5,709.1,344.85,207.4,775.65,519.2,197.15,2792.6,80.0,209.7,154.15,341.65,258.8,51.9,2214.75,177.35,140.0,1028.8,619.45,125.55,269.9,470.65,4793.2
456.7,43.05,488.95,37.95,590.25,40.6,370.85,713.5,1216.15,318.85,1481.1,63.6,373.55,2324.7,357.2,228.95,1018.1,833.0,2346.75,144.4,38.7,7896.95,257.8,695.5,333.1,204.0,774.9,509.2,202.2,2750.2,79.0,212.1,151.9,344.15,255.9,54.6,2137.0,178.95,140.1,1020.75,613.0,123.7,270.8,477.7,5176.7
453.65,39.65,453.95,38.75,562.0,39.85,368.4,701.7,1220.8,313.2,1364.1,60.45,373.3,2508.4,355.45,246.7,995.35,821.95,2308.95,155.6,40.45,8496.2,253.95,747.3,327.65,191.65,790.45,505.85,210.45,2737.25,79.6,216.5,149.3,343.6,247.4,58.0,2127.3,177.8,139.0,1015.55,618.4,114.0,272.8,479.65,5259.15
459.85,37.95,450.35,38.7,537.85,39.0,353.8,685.5,1205.65,317.3,1387.95,57.35,401.95,2423.1,350.5,250.75,962.5,777.3,2306.95,151.55,37.25,8898.2,242.45,763.25,315.65,190.0,771.7,546.35,217.8,2719.25,81.6,209.8,148.7,342.4,242.3,60.45,2237.95,180.6,141.1,1031.0,619.4,118.1,265.7,516.6,4868.05
457.15,36.05,447.1,41.8,517.75,39.1,380.75,707.4,1218.15,323.15,1413.25,55.25,407.4,2614.7,329.15,252.5,971.25,810.25,2418.1,156.55,34.3,8709.75,250.55,824.35,310.85,180.05,776.75,529.2,216.55,2701.85,84.1,212.75,152.9,350.4,245.4,60.1,2159.9,183.65,144.4,1027.1,613.7,117.5,264.45,498.95,5209.5
440.9,38.95,453.5,45.15,522.55,38.55,350.3,712.1,1197.6,325.3,1418.2,56.55,401.1,2775.95,320.35,251.75,955.4,834.55,2331.1,169.1,35.7,9209.0,246.75,890.3,312.45,172.5,774.7,571.25,216.9,2688.75,83.8,206.6,156.55,355.75,248.8,56.2,2145.6,181.1,141.85,1047.7,624.15,117.1,266.05,499.5,5626.3
