Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Expense Ratio","Tracking Error"
Nippon India Nifty PSU Bank Bees ETF,PSUBNKBEES,"Equity","84.21141099","23.08",,"0.49","0.34606427148724844"
Quantum Nifty 50 ETF,QNIFTY,"Equity","9.384569082","1503",,"0.094","0.2444674211423682"
SBI Nifty 200 Quality 30 ETF,SBIETFQLTY,"Equity","25.671113721","125.44",,,"0.4317866139657412"
SBI Nifty 50 ETF,SETFNIF50,"Equity","6465.110602981","147.27",,"0.07","1.589038237425393"
SBI Nifty Bank ETF,SETFNIFBK,"Equity","186.97882929","333.06",,"0.2","3.435243502286265"
SBI Nifty Next 50 ETF,SETFNN50,"Equity","19.461769523999997","351.93",,"0.2","0.271454084515227"
Nippon India Nifty Shariah Bees ETF,SHARIABEES,"Equity","3.30350209","359.82",,"1.03","0.40003759823296614"
UTI Bank ETF,UTIBANKETF,"Equity","30.13794144","33.3",,,"4.694091976090797"
UTI Nifty Next 50 ETF,UTINEXT50,"Equity","508.79727955","36.54",,,"0.25240467507556197"
UTI Nifty 50 ETF,UTINIFTETF,"Equity","0","1515.07",,,"1.589038237425393"
UTI Sensex 30 ETF,UTISENSETF,"Equity","11984.38346798","512.06",,,"0.3190776081143896"
UTI Sensex Next 50 ETF,UTISXN50,"Equity","6.3792895000000005","38.97",,,"1.138202214019987"
Nippon India Sensex Next 50 ETF,RETFSNXN50,"Equity","18.9874363","49",,"0.25","1.1016908459272956"
SBI Sensex Next 50 ETF,SETFSN50,"Equity","0","398.55",,,"1.1350273124467094"
IDFC Sensex 30 ETF,IDFSENSEXE,"Equity","0","509.15",,"0.29","0.7127654032008007"
Aditya BSL Sensex 30 ETF,BSLSENETFG,"Equity","0","520.66",,,"0.6302179622955855"
SBI BSE 100 ETF,SETFBSE100,"Equity","0","154.1",,"0.14","0.32066505890102837"
Nippon India Sensex 30 ETF,RELSENSEX,"Equity","0","532",,"0.07","0.11429645663799032"
SBI Sensex 30 ETF,SBISENSEX,"Equity","0","516.44",,"0.07","1.2255120072851184"
Kotak Sensex 30 ETF,KTKSENSEX,"Equity","109.7977341","510",,"0.28","0.0730227361853827"
SBI ETF Private Bank,SBIETFPB,"Equity","0","179.09",,,"0.11270900585135157"
SBI ETF IT,SBIETFIT,"Equity","0","254.22",,,"0.13175841529101662"
Axis Banking ETF,AXISBNKETF,"Equity","0","333.05",,"0.16",
Mirae Asset ESG Sector Leaders ETF,MAESGETF,"Equity","0","24.74",,"0.33",
Kotak IT ETF,KOTAKIT,"Equity",,"25.57",,,
