Mutual Funds
111.3814
114.885
112.312
157.6426
111.6083
109.2188
111.4668
111.9966
312.0302
468.3975
321.4556
1532.8272
1038.9982
2310.9347
1033.368
1039.6205
1289.4075
1038.9893
2254.9157
1033.3349
1039.5845
10.1669
10.912
10.2938
10.806
10.1361
10.1947
21.0309
10.2989
10.1577
10.3186
10.2982
10.1577
20.4292
10.2961
10.1576
10.3105
10.2955
10.1576
21.6553
18.2164
14.6621
10.9095
10.5626
21.0398
17.6152
14.2806
11.1547
10.1583
19.8678
19.1549
10.8665
10.3473
19.5797
20.2128
10.1535
10.0438
10.0549
10.2427
15.8889
10.2538
28.7269
12.6701
10.3708
13.8665
13.1098
27.7626
