,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-04-27,EQ,2375.0,2384.0,2364.0,2362.1,2381.7,2377.05,2373.05,2856.15,2180.0,4230627,10039493207.75,151491,RELIANCE
0,2023-04-27,EQ,1138.75,1145.0,1125.0,1118.3,1144.05,1137.05,1134.79,1340.35,1033.2,1895316,2150782858.45,75232,SBILIFE
0,2023-04-27,EQ,565.0,567.4,561.1,566.35,564.45,564.75,564.04,629.55,430.7,17845169,10065343831.2,213129,SBIN
0,2023-04-27,EQ,24039.0,24061.0,23552.5,23962.5,23759.95,23745.8,23773.17,27049.0,17865.2,31520,749330278.15,11399,SHREECEM
0,2023-04-27,EQ,968.0,981.6,963.55,971.25,979.6,978.7,968.38,1072.15,789.9,2777173,2689356030.45,64780,SUNPHARMA
0,2023-04-27,EQ,478.5,482.0,476.5,478.2,481.0,481.6,480.37,494.4,366.2,7085793,3403772971.75,124267,TATAMOTORS
0,2023-04-27,EQ,106.3,107.85,106.3,106.85,107.65,107.65,107.29,1330.0,95.0,22364308,2399360923.3,101664,TATASTEEL
0,2023-04-27,EQ,743.0,755.25,742.15,746.7,754.9,754.0,750.83,861.15,686.6,1664942,1250096406.6,68296,TATACONSUM
0,2023-04-27,EQ,999.0,1008.65,993.0,996.3,1002.0,1003.15,1001.36,1299.0,943.7,3543950,3548778417.85,81981,TECHM
0,2023-04-27,EQ,2641.0,2674.0,2631.5,2641.0,2660.4,2663.45,2649.33,2791.0,1825.05,620037,1642681810.8,40889,TITAN
0,2023-04-27,EQ,7459.0,7508.0,7436.9,7456.9,7505.0,7500.9,7481.48,7824.0,5157.05,205177,1535026735.5,26112,ULTRACEMCO
0,2023-04-27,EQ,716.3,730.75,716.3,715.35,728.1,727.2,725.51,848.0,607.5,2470510,1792375909.55,53958,UPL
0,2023-04-27,EQ,376.4,376.6,372.05,374.55,374.9,374.4,374.45,537.75,352.0,4245850,1589865240.5,66675,WIPRO
