Motilal Oswal Focused 25 Fund (MOF25) - Direct Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,SBI FOCUSED EQUITY FUND - DIRECT PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,SBI FOCUSED EQUITY FUND - REGULAR  PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,Baroda Banking and Financial Services Fund - Plan A - Dividend,Baroda Banking and Financial Services Fund - Plan A - Growth Option,Sundaram Select Focus - Direct Plan - Dividend Option,Sundaram Select Focus - Direct Plan - Growth Option,Sundaram Select Focus-Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,HDFC Focused 30 Fund - DIVIDEND,HDFC Focused 30 Fund - GROWTH,HDFC Focused 30 Fund -Direct Plan - Dividend Option,ICICI Prudential Focused Equity Fund - Direct Plan - Dividend,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,ICICI Prudential Focused Equity Fund - Dividend
13.7052,13.0829,15.8058,15.1361,29.0127,97.5672,21.2355,94.8475,14.66,13.64,14.66,12.9525,119.8552,12.778,15.13,17.86,13.64,17.5,17.034,57.316,17.686,22.56,22.56,16.88
13.7511,13.1254,15.8588,15.1852,28.9758,97.4433,21.2068,94.719,14.78,13.75,14.78,13.0014,120.3078,12.8261,15.23,17.98,13.74,17.62,17.043,57.345,17.697,22.58,22.57,16.88
13.7662,13.1393,15.8762,15.2013,29.0641,97.7402,21.2709,95.0055,14.77,13.74,14.77,13.0024,120.3167,12.827,15.22,17.96,13.72,17.6,17.086,57.49,17.743,22.67,22.67,16.96
13.7231,13.0977,15.8265,15.1532,28.987,97.4807,21.214,94.7511,14.75,13.72,14.75,12.9759,120.0715,12.8008,15.21,17.96,13.72,17.6,17.136,57.659,17.795,22.63,22.63,16.92
13.6494,13.0269,15.7415,15.0713,28.624,96.2599,20.9478,93.5624,14.62,13.6,14.62,12.8711,119.1024,12.6974,15.09,17.81,13.61,17.46,16.972,57.107,17.626,22.43,22.43,16.78
13.5231,12.9059,15.5959,14.9314,28.5859,96.1319,20.9195,93.4358,14.58,13.56,14.58,12.8261,118.6858,12.6529,15.02,17.73,13.54,17.37,16.843,56.672,17.492,22.34,22.33,16.7
13.4171,12.8034,15.4736,14.8128,28.7349,96.6328,21.027,93.916,14.52,13.5,14.52,12.8219,118.6466,12.6486,14.93,17.62,13.46,17.27,16.796,56.514,17.445,22.26,22.26,16.65
13.4058,12.7922,15.4606,14.7998,28.5866,96.1342,20.918,93.4294,14.52,13.51,14.52,12.8248,118.6734,12.6514,14.93,17.63,13.46,17.27,16.725,56.276,17.372,22.34,22.33,16.7
13.6621,13.0363,15.7562,15.0822,28.7755,96.7695,21.0558,94.0449,14.85,13.81,14.85,13.0498,120.7553,12.8733,15.18,17.92,13.69,17.56,16.914,56.913,17.569,22.76,22.76,17.02
13.7198,13.0909,15.8227,15.1454,29.0109,97.562,21.2276,94.8123,15.11,14.06,15.11,13.2353,122.4719,13.0562,15.46,18.25,13.94,17.88,17.307,58.235,17.978,23.21,23.21,17.35
13.9407,13.3012,16.0775,15.3887,29.1251,97.9459,21.3107,95.1833,15.22,14.15,15.22,13.3644,123.6662,13.1834,15.54,18.35,14.01,17.97,17.519,58.948,18.199,23.44,23.44,17.52
14.0168,13.3725,16.1652,15.4711,29.1937,98.1766,21.3595,95.4013,15.25,14.18,15.25,13.406,124.0513,13.2243,15.65,18.47,14.11,18.1,17.658,59.417,18.346,23.48,23.47,17.55
14.0411,13.3952,16.1933,15.4974,29.2934,98.5118,21.432,95.7249,15.28,14.21,15.28,13.366,123.681,13.1848,15.73,18.57,14.18,18.19,17.758,59.753,18.45,23.4,23.39,17.49
14.0077,13.3628,16.1547,15.46,29.331,98.6385,21.459,95.8457,15.2,14.14,15.2,13.4002,123.9975,13.2184,15.66,18.49,14.12,18.11,17.689,59.522,18.379,23.22,23.22,17.36
14.0451,13.398,16.1978,15.5007,29.4096,98.9027,21.516,96.1001,15.33,14.26,15.33,13.4348,124.3184,13.2526,15.92,18.79,14.35,18.41,17.776,59.814,18.47,23.29,23.28,17.41
14.0763,13.4274,16.2338,15.5346,29.4697,99.1049,21.5595,96.2944,15.42,14.35,15.42,13.47,124.6435,13.2872,16,18.89,14.42,18.5,17.814,59.942,18.511,23.29,23.28,17.41
14.1127,13.4607,16.2758,15.5732,29.4456,99.0239,21.5404,96.2091,15.44,14.36,15.44,13.4382,124.3497,13.2557,16.03,18.92,14.45,18.53,17.808,59.92,18.506,23.3,23.3,17.42
14.1286,13.4754,16.2942,15.5902,29.6907,99.848,21.7192,97.0077,15.55,14.46,15.55,13.5289,125.1885,13.3449,16.17,19.09,14.58,18.7,17.923,60.307,18.626,23.58,23.58,17.62
14.0998,13.4474,16.2609,15.5578,29.6527,99.7204,21.6909,96.8815,15.53,14.44,15.53,13.5238,125.1419,13.3399,16.29,19.24,14.69,18.84,18.115,60.952,18.826,23.74,23.74,17.74
14.0044,13.3561,16.151,15.4521,29.4678,99.0984,21.5552,96.2753,15.46,14.38,15.46,13.4342,124.3121,13.2514,16.22,19.16,14.62,18.76,18.06,60.77,18.77,23.67,23.66,17.69
13.9758,13.3283,16.1179,15.42,29.4387,99.0006,21.5334,96.1781,15.43,14.35,15.43,13.3736,123.7516,13.1916,16.16,19.08,14.56,18.68,17.986,60.52,18.694,23.65,23.64,17.67
13.8848,13.2401,16.013,15.318,29.2921,98.5076,21.4248,95.693,15.31,14.24,15.31,13.3002,123.0725,13.1191,15.98,18.87,14.4,18.48,17.843,60.04,18.547,23.43,23.42,17.5
13.8825,13.2374,16.0103,15.3149,29.266,98.4199,21.4052,95.6056,15.33,14.26,15.33,13.2918,122.9953,13.1108,16.02,18.91,14.44,18.52,17.848,60.056,18.553,23.57,23.56,17.61
14.0584,13.4047,16.2132,15.5084,29.4465,99.0268,21.5367,96.193,15.49,14.4,15.49,13.4702,124.6454,13.2866,16.21,19.13,14.61,18.74,18.059,60.766,18.773,23.82,23.82,17.8
13.99,13.339,16.1343,15.4324,29.3221,98.6085,21.4453,95.7844,15.35,14.28,15.35,13.3852,123.8591,13.2027,16.09,19,14.5,18.61,18.023,60.644,18.736,23.71,23.71,17.72
14.0441,13.3901,16.1967,15.4916,29.3101,98.568,21.436,95.7429,15.36,14.29,15.36,13.4143,124.1289,13.2314,16.11,19.02,14.52,18.62,18.023,60.644,18.737,23.77,23.76,17.76
14.2019,13.5392,16.3787,15.664,29.3178,98.5939,21.4401,95.7611,15.4,14.33,15.4,13.5086,125.0033,13.3243,16.21,19.13,14.6,18.74,18.124,60.984,18.844,23.19,23.94,16.53
14.1595,13.4983,16.3298,15.6166,29.1839,98.1437,21.3416,95.3215,15.35,14.28,15.35,13.4928,124.8566,13.3086,16.18,19.1,14.58,18.71,18.129,60.999,18.849,23.11,23.86,16.47
14.1301,13.4698,16.2959,15.5837,29.1408,97.9992,21.3096,95.1786,15.33,14.26,15.33,13.465,124.5997,13.2811,16.17,19.09,14.57,18.69,17.991,60.538,18.707,23.07,23.81,16.44
14.23,13.5645,16.4111,15.6933,29.1658,98.0834,21.3274,95.258,15.55,14.47,15.55,13.5667,125.5409,13.3814,16.39,19.35,14.77,18.94,18.048,60.729,18.767,23.3,24.05,16.6
14.0566,13.3987,16.2111,15.5015,28.8132,96.8977,21.0691,94.104,15.23,14.17,15.23,13.3151,123.2128,13.1333,16.1,19.01,14.5,18.61,17.684,59.502,18.388,22.92,23.66,16.33
14.1341,13.4713,16.3005,15.5854,28.9603,97.3922,21.1751,94.5773,15.27,14.2,15.27,13.3215,123.2721,13.1395,16.19,19.12,14.59,18.72,17.849,60.059,18.563,23.1,23.84,16.46
14.2094,13.5426,16.3874,15.6679,29.2227,98.2746,21.3665,95.4322,15.3,14.23,15.3,13.3738,123.756,13.191,16.21,19.14,14.6,18.73,17.917,60.287,18.634,23.09,23.84,16.45
14.3462,13.6724,16.5451,15.8181,29.5599,99.4087,21.6125,96.5314,15.48,14.4,15.48,13.4598,124.5512,13.2757,16.35,19.3,14.73,18.89,18.108,60.931,18.834,23.31,24.07,16.61
14.4059,13.7289,16.614,15.8835,29.7512,100.0521,21.752,97.1541,15.72,14.62,15.72,13.5703,125.5741,13.3847,16.6,19.6,14.96,19.19,18.324,61.657,19.059,23.56,24.32,16.78
14.427,13.7485,16.6383,15.9061,29.9305,100.6542,21.8824,97.7367,15.8,14.7,15.8,13.6648,126.4485,13.4778,16.81,19.85,15.14,19.43,18.407,61.938,19.146,23.67,24.44,16.86
14.5164,13.8322,16.7414,16.003,30.3355,102.0157,22.1769,99.052,15.83,14.73,15.83,13.704,126.8114,13.5164,16.94,19.99,15.26,19.57,18.611,62.621,19.359,23.97,24.75,17.08
14.4358,13.7549,16.6484,15.9136,30.3614,102.103,22.1953,99.1344,15.78,14.68,15.78,13.6481,126.2941,13.4612,16.89,19.94,15.22,19.52,18.517,62.305,19.262,23.84,24.61,16.98
14.4299,13.7483,16.6416,15.9059,30.2489,101.7247,22.112,98.7622,15.85,14.74,15.85,13.6398,126.2172,13.4529,16.85,19.89,15.18,19.47,18.508,62.275,19.255,23.91,24.68,17.03
14.42,13.7385,16.6303,15.8946,30.2571,101.7521,22.1174,98.7864,15.84,14.73,15.84,13.6013,125.8605,13.4148,16.83,19.87,15.16,19.45,18.483,62.191,19.229,23.94,24.71,17.05
14.6251,13.9324,16.8667,16.1189,30.5891,102.8699,22.3586,99.864,16.14,15.01,16.14,13.7948,127.6517,13.6055,17.15,20.25,15.45,19.82,18.67,62.82,19.426,24.37,25.16,17.36
14.6765,13.9808,16.926,16.1749,30.4858,102.5225,22.2825,99.5241,16.3,15.17,16.3,13.8646,128.2977,13.6743,17.21,20.32,15.5,19.89,18.73,63.022,19.489,24.54,25.34,17.48
14.6719,13.976,16.9207,16.1694,30.4245,102.3164,22.2371,99.3212,16.22,15.09,16.22,13.8763,128.4054,13.6857,17.08,20.17,15.38,19.74,18.564,62.463,19.317,24.41,25.2,17.38
14.8461,14.1415,17.1217,16.3608,30.6863,103.1966,22.4278,100.1729,16.35,15.21,16.35,14.01,129.6426,13.8175,17.23,20.34,15.52,19.91,18.8,63.26,19.564,24.71,25.51,17.6
14.7927,14.0901,17.06,16.3013,30.7277,103.3359,22.4575,100.3055,16.44,15.29,16.44,13.9502,129.0896,13.7585,17.37,20.51,15.65,20.07,18.668,62.813,19.427,24.64,25.43,17.55
14.7246,14.0238,16.9815,16.2246,30.6378,103.0335,22.39,100.0042,16.42,15.27,16.42,13.8966,128.5933,13.7055,17.34,20.47,15.61,20.03,18.635,62.703,19.394,24.54,25.33,17.47
14.7814,14.0773,17.047,16.2866,30.6861,103.1959,22.4248,100.1595,16.36,15.22,16.36,13.9474,129.0636,13.7555,17.36,20.5,15.64,20.06,18.672,62.826,19.433,24.64,25.44,17.54
14.9275,14.216,17.2155,16.447,30.953,104.0935,22.6194,101.0284,16.43,15.28,16.43,14.0294,129.8229,13.8352,17.47,20.62,15.73,20.18,18.774,63.172,19.541,24.78,25.58,17.65
14.8717,14.1624,17.1511,16.385,30.8988,103.9114,22.5793,100.8493,16.23,15.1,16.23,13.9782,129.3484,13.7844,17.4,20.55,15.67,20.1,18.713,62.964,19.477,24.57,25.36,17.49
14.9142,14.2024,17.2002,16.4312,31.0948,104.5704,22.7219,101.4866,16.31,15.17,16.31,14.0133,129.6733,13.819,17.63,20.81,15.88,20.37,18.829,63.356,19.599,24.7,25.5,17.59
15.1404,14.4163,17.4611,16.6787,31.3397,105.3942,22.8994,102.2793,16.54,15.38,16.54,14.1745,131.1656,13.9778,17.84,21.06,16.06,20.6,19.007,63.956,19.787,25.01,25.81,17.8
15.0052,14.287,17.3051,16.5291,31.1997,104.9234,22.7965,101.8204,16.49,15.34,16.49,14.1217,130.6765,13.9257,18.05,21.32,16.26,20.85,18.883,63.538,19.659,24.95,25.75,17.76
15.1337,14.4088,17.4533,16.6701,31.1434,104.7339,22.7549,101.6344,16.61,15.45,16.61,14.1816,131.2313,13.9847,18.16,21.45,16.35,20.98,18.898,63.588,19.675,25.1,25.91,17.87
15.283,14.5505,17.6255,16.834,31.266,105.146,22.8439,102.0322,16.68,15.52,16.68,14.2432,131.8008,14.0453,18.44,21.77,16.6,21.29,18.965,63.815,19.746,25.12,25.93,17.88
15.4053,14.6665,17.7666,16.9682,31.424,105.6776,22.959,102.5459,16.67,15.51,16.67,14.2083,131.4778,14.0108,18.42,21.75,16.58,21.27,18.994,63.91,19.776,25.05,25.86,17.83
15.3074,14.5718,17.6537,16.8586,31.1741,104.837,22.7749,101.7236,16.58,15.43,16.58,14.1673,131.0982,13.9702,18.6,21.96,16.74,21.48,18.956,63.785,19.739,24.99,25.79,17.78
15.1482,14.4197,17.47,16.6826,30.9185,103.9776,22.5877,100.8874,16.52,15.37,16.52,14.183,131.2436,13.9856,18.37,21.69,16.54,21.22,18.851,63.431,19.63,24.88,25.68,17.71
14.9863,14.265,17.2833,16.5037,30.5949,102.8893,22.3507,99.8292,16.42,15.27,16.42,14.0577,130.0841,13.862,17.98,21.23,16.19,20.77,18.647,62.743,19.418,24.81,25.61,17.65
14.9655,14.2448,17.2593,16.4803,30.6419,103.0473,22.3845,99.9801,16.4,15.26,16.4,14.0537,130.047,13.8579,17.95,21.19,16.16,20.73,18.622,62.659,19.393,24.88,25.68,17.7
15.2069,14.4741,17.5378,16.7456,30.94,104.0498,22.6018,100.9504,16.7,15.54,16.7,14.2726,132.0729,14.0738,18.3,21.61,16.48,21.14,18.966,63.818,19.752,25.25,26.07,17.97
15.4266,14.6816,17.7911,16.9856,31.1951,104.9078,22.7865,101.7754,16.73,15.56,16.73,14.3092,132.4119,14.1097,18.35,21.66,16.51,21.19,19.069,64.163,19.861,25.25,26.07,17.97
15.2718,14.5338,17.6126,16.8147,31.2269,105.0148,22.8091,101.8764,16.72,15.55,16.72,14.2406,131.7768,14.042,18.36,21.68,16.53,21.2,19.024,64.011,19.815,25.15,25.97,17.9
15.0276,14.3009,17.331,16.5453,30.8846,103.8637,22.5585,100.7571,16.47,15.32,16.47,14.0438,129.9554,13.8478,18.16,21.44,16.34,20.97,18.73,63.023,19.51,24.7,25.5,17.58
15.0651,14.3361,17.3742,16.5859,30.8875,103.8733,22.56,100.7637,16.5,15.34,16.5,14.0605,130.1099,13.8642,18.04,21.3,16.24,20.83,18.611,62.623,19.387,24.56,25.36,17.48
15.163,14.4287,17.4871,16.6931,30.938,104.0433,22.5963,100.9259,16.8,15.63,16.8,14.1718,131.1402,13.9739,18.36,21.68,16.52,21.2,18.724,63.002,19.505,24.71,25.51,17.58
15.1739,14.4371,17.4997,16.7028,31.1963,104.9121,22.7825,101.7578,16.81,15.64,16.81,14.1504,130.9423,13.9525,18.38,21.71,16.54,21.22,18.833,63.369,19.621,24.72,25.52,17.58
15.2369,14.4965,17.5723,16.7716,31.1777,104.8494,22.7683,101.6943,16.84,15.67,16.84,14.1332,130.7835,13.9356,18.41,21.74,16.57,21.25,18.85,63.427,19.64,24.67,25.47,17.55
15.2825,14.5394,17.625,16.8212,31.5572,106.1256,23.0449,102.9294,17.08,15.89,17.08,13.2196,131.5837,13.0207,18.64,22.01,16.77,21.52,19.05,64.099,19.849,24.89,25.7,17.71
15.2562,14.5139,17.5946,16.7917,31.6806,106.5406,23.1344,103.3292,17.13,15.94,17.13,13.2133,131.5111,13.0135,18.76,22.15,16.88,21.66,19.09,64.234,19.891,24.93,25.74,17.73
15.1862,14.4458,17.5139,16.7129,31.8304,107.0443,23.2419,103.8098,17.08,15.89,17.08,13.1634,131.0138,12.9641,18.68,22.06,16.81,21.57,19.05,64.101,19.852,24.74,25.54,17.59
15.1887,14.4477,17.5168,16.7151,31.6989,106.6021,23.1454,103.3785,17.07,15.87,17.07,13.1385,130.7665,12.9395,18.64,22,16.77,21.51,19.058,64.126,19.861,24.76,25.56,17.61
15.2923,14.5457,17.6362,16.8284,31.9196,107.3443,23.3059,104.0957,17.06,15.87,17.06,13.1926,131.3049,12.9927,18.63,22,16.76,21.51,19.137,64.394,19.944,24.88,25.69,17.7
15.2609,14.5153,17.6,16.7933,31.7827,106.8841,23.2054,103.6469,17.02,15.83,17.02,13.1338,130.7194,12.9346,18.61,21.97,16.75,21.49,19.132,64.376,19.939,24.71,25.51,17.57
15.2589,14.5129,17.5977,16.7905,31.6659,106.4913,23.1196,103.2635,16.93,15.75,16.93,13.1121,130.5036,12.9133,18.63,22,16.77,21.51,19.017,63.987,19.82,24.58,25.37,17.48
15.2733,14.5251,17.6144,16.8047,31.643,106.4143,23.1011,103.1811,16.96,15.78,16.96,13.1526,130.9066,12.953,18.71,22.09,16.84,21.6,19.138,64.395,19.948,24.65,25.45,17.53
15.5249,14.7639,17.9045,17.0809,32.0509,107.786,23.3983,104.5085,17.19,15.99,17.19,13.3246,132.6183,13.1223,18.94,22.36,17.04,21.86,19.358,65.136,20.179,25.17,25.98,17.9
15.6553,14.8873,18.0549,17.2237,32.2902,108.5909,23.5725,105.2863,17.34,16.13,17.34,13.4138,133.5064,13.2101,19.13,22.59,17.21,22.08,19.437,65.403,20.262,25.32,26.13,18
15.6187,14.8521,18.0127,17.1829,32.033,107.7261,23.3842,104.4453,17.32,16.11,17.32,13.3876,133.2447,13.1842,19.13,22.59,17.21,22.08,19.412,65.318,20.237,25.36,26.18,18.03
15.6807,14.9105,18.0842,17.2505,32.3123,108.6653,23.5875,105.3533,17.41,16.2,17.41,13.4469,133.8346,13.2425,19.19,22.65,17.26,22.15,19.498,65.607,20.327,25.43,26.25,18.08
16.0097,15.2212,18.4636,17.61,32.4203,109.0284,23.664,105.695,17.85,16.6,17.85,13.639,135.7469,13.4313,19.57,23.11,17.61,22.59,19.741,66.423,20.583,25.89,26.73,18.41
15.9649,15.1781,18.4119,17.5601,32.3592,108.8232,23.6189,105.4935,17.81,16.57,17.81,13.5975,135.3335,13.3904,19.57,23.1,17.6,22.58,19.708,66.312,20.549,25.94,26.78,18.44
16.1109,15.3163,18.5803,17.72,32.5619,109.5047,23.7662,106.1515,17.81,16.57,17.81,13.6492,135.8489,13.4413,19.49,23.01,17.53,22.49,19.816,66.677,20.663,26.19,27.04,18.61
15.9577,15.1701,18.4036,17.5509,32.4045,108.9755,23.6508,105.6359,17.62,16.39,17.62,13.5277,134.6398,13.3216,19.24,22.71,17.3,22.2,19.611,65.989,20.45,25.91,26.75,18.41
15.7697,14.9899,18.1868,17.3424,32.0438,107.7625,23.3858,104.4524,17.18,15.98,17.18,13.308,132.4531,13.105,18.55,21.9,16.69,21.41,19.22,64.672,20.044,25.47,26.29,18.1
15.8209,15.0375,18.2458,17.3974,32.1407,108.0881,23.4554,104.763,17.4,16.19,17.4,13.3319,132.691,13.1285,18.83,22.23,16.93,21.72,19.411,65.315,20.245,25.57,26.4,18.17
15.8464,15.0613,18.2753,17.4249,32.2824,108.5649,23.5583,105.2225,17.33,16.12,17.33,13.3396,132.7669,13.1359,18.78,22.18,16.89,21.67,19.368,65.169,20.201,25.59,26.41,18.18
15.8757,15.0886,18.3091,17.4565,32.5446,109.4464,23.749,106.0744,17.22,16.02,17.22,13.3971,133.3393,13.1913,18.7,22.07,16.81,21.57,19.525,65.699,20.366,25.78,26.61,18.32
15.7991,15.0142,18.2208,17.3705,32.6402,109.768,23.817,106.3784,17.32,16.11,17.32,13.4157,133.5246,13.2095,18.75,22.13,16.86,21.63,19.603,65.96,20.449,25.87,26.71,18.38
15.7609,14.9774,18.1766,17.3279,32.511,109.3337,23.7222,105.9547,17.29,16.08,17.29,13.3576,132.9465,13.1522,18.71,22.09,16.82,21.58,19.557,65.807,20.402,25.8,26.64,18.33
15.8034,15.0173,18.2257,17.374,32.5367,109.4203,23.7404,106.0361,17.25,16.05,17.25,13.3401,132.7725,13.135,18.69,22.07,16.81,21.56,19.589,65.915,20.436,25.75,26.58,18.29
15.9782,15.1828,18.4272,17.5655,32.8975,110.6337,24.003,107.2093,17.57,16.34,17.57,13.4748,134.1125,13.2675,19.24,22.72,17.3,22.2,19.798,66.616,20.655,26.06,26.9,18.51
15.9742,15.1785,18.4226,17.5605,32.7486,110.1328,23.8937,106.7212,17.51,16.29,17.51,13.4226,133.5934,13.2161,19.13,22.59,17.2,22.07,19.639,66.083,20.49,25.92,26.76,18.41
15.8843,15.0915,18.319,17.4599,32.4388,109.0913,23.666,105.7042,17.32,16.11,17.32,13.263,132.0053,13.0588,18.96,22.39,17.05,21.87,19.465,65.496,20.31,25.56,26.38,18.15
15.8214,15.0312,18.2464,17.3902,32.496,109.2838,23.7072,105.8881,17.32,16.11,17.32,13.2212,131.5891,13.0176,18.94,22.36,17.03,21.84,19.368,65.17,20.21,25.51,26.34,18.12
15.9048,15.1099,18.3426,17.4812,32.5771,109.5563,23.7658,106.1496,17.57,16.34,17.57,13.2595,131.9705,13.056,19.11,22.57,17.18,22.05,19.497,65.604,20.345,25.64,26.47,18.21
15.558,14.7799,17.9427,17.0995,31.7091,106.6375,23.132,103.319,17.08,15.89,17.08,13.0302,129.6882,12.8301,18.47,21.8,16.6,21.3,18.919,63.658,19.743,25.09,25.9,17.82
15.7044,14.9185,18.1115,17.2597,31.9862,107.57,23.3337,104.2198,17.28,16.07,17.28,13.0876,130.2593,12.8866,18.78,22.17,16.88,21.66,19.146,64.424,19.981,25.18,25.99,17.88
16.0475,15.2429,18.5072,17.635,32.5328,109.4079,23.7307,105.9928,17.65,16.42,17.65,13.2474,131.8498,13.0437,19.21,22.69,17.27,22.16,19.496,65.6,20.348,25.6,26.42,18.18
16.1207,15.3118,18.5916,17.7148,32.647,109.7919,23.8134,106.3623,17.76,16.52,17.76,13.2928,132.3015,13.0884,19.38,22.88,17.42,22.35,19.526,65.701,20.38,25.69,26.52,18.24
16.1367,15.3265,18.61,17.7317,32.7937,110.2857,23.9199,106.838,17.67,16.44,17.67,13.2665,132.0392,13.0624,19.3,22.78,17.35,22.25,19.578,65.875,20.435,25.65,26.48,18.21
16.1288,15.3185,18.601,17.7225,32.7911,110.2759,23.9174,106.827,17.53,16.31,17.53,13.2332,131.7083,13.0296,19.17,22.63,17.23,22.1,19.615,66.002,20.475,25.5,26.33,18.11
16.0679,15.2601,18.5307,17.6549,32.8281,110.4003,23.9438,106.9449,17.53,16.31,17.53,13.2154,131.5308,13.012,19.13,22.58,17.19,22.06,19.614,65.997,20.474,25.49,26.32,18.1
16.0494,15.2409,18.5094,17.6328,32.8211,110.3766,23.9369,106.9141,17.49,16.27,17.49,13.2094,131.471,13.0059,19.04,22.48,17.12,21.96,19.618,66.013,20.481,25.57,26.4,18.16
15.8625,15.0619,18.2939,17.4257,32.3337,108.7375,23.5797,105.3188,17.12,15.93,17.12,13.0143,129.5293,12.8136,18.7,22.08,16.81,21.56,19.403,65.289,20.259,25.24,26.06,17.92
15.9006,15.0975,18.3378,17.4669,32.3222,108.6989,23.5708,105.279,17.21,16.01,17.21,13.0685,130.0692,12.8669,18.85,22.25,16.94,21.73,19.572,65.856,20.436,25.31,26.12,17.96
15.691,14.8969,18.096,17.2348,32.0339,107.7275,23.3589,104.3322,17.26,16.06,17.26,12.9964,129.3516,12.7958,18.87,22.27,16.95,21.75,19.458,65.474,20.319,25.17,25.99,17.87
15.8504,15.0477,18.2799,17.4093,32.5147,109.3443,23.7089,105.8955,17.58,16.35,17.58,13.2074,131.4511,13.0034,19.31,22.79,17.35,22.26,19.709,66.316,20.581,25.6,26.42,18.17
15.8988,15.0932,18.3357,17.4618,32.3708,108.8607,23.6035,105.4246,17.5,16.28,17.5,13.1754,131.1326,12.9718,19.27,22.76,17.32,22.22,19.736,66.407,20.61,25.61,26.44,18.18
15.9299,15.1222,18.3715,17.4954,32.4866,109.2499,23.6873,105.7991,17.72,16.48,17.72,13.2134,131.5112,13.0092,19.45,22.96,17.47,22.42,19.836,66.746,20.716,25.7,26.53,18.24
15.9941,15.1826,18.4456,17.5653,32.6535,109.8113,23.8084,106.3402,17.78,16.54,17.78,13.2266,131.643,13.0222,19.53,23.06,17.55,22.52,19.749,66.453,20.626,25.71,26.55,18.25
16.0765,15.2593,18.5407,17.654,32.7179,110.0279,23.8537,106.5424,17.9,16.65,17.9,13.259,131.9653,13.0539,19.48,23,17.51,22.46,19.844,66.772,20.728,25.7,26.53,18.24
16.0531,15.2365,18.5137,17.6277,32.7433,110.1132,23.8716,106.6224,17.9,16.65,17.9,13.206,131.4376,13.0016,19.51,23.03,17.53,22.49,19.853,66.801,20.737,25.69,26.52,18.23
16.0024,15.1879,18.4552,17.5714,32.4566,109.1492,23.6621,105.6864,17.77,16.53,17.77,13.111,130.4922,12.9081,19.34,22.83,17.37,22.29,19.633,66.062,20.509,25.44,26.26,18.05
15.9425,15.1305,18.3861,17.505,32.4966,109.2835,23.6906,105.814,17.62,16.39,17.62,13.1195,130.5764,12.9163,19.17,22.63,17.22,22.09,19.564,65.83,20.437,25.4,26.22,18.02
16.1214,15.2997,18.5924,17.7008,32.7105,110.0028,23.846,106.5078,17.74,16.5,17.74,13.1763,131.1418,12.9721,19.25,22.73,17.3,22.19,19.64,66.086,20.517,25.34,26.15,17.98
16.2143,15.3856,18.6995,17.8002,32.8191,110.368,23.9229,106.8513,17.72,16.48,17.72,13.1212,130.593,12.9176,19.22,22.69,17.27,22.15,19.656,66.138,20.537,25.28,26.1,17.93
15.9658,15.1492,18.413,17.5267,32.5423,109.4372,23.7205,105.9476,17.45,16.23,17.45,12.9811,129.199,12.7797,18.81,22.21,16.9,21.68,19.295,64.923,20.16,24.93,25.74,17.69
15.8391,15.0285,18.2669,17.387,32.3734,108.8694,23.5969,105.3954,17.33,16.12,17.33,12.9322,128.7128,12.7315,18.7,22.08,16.8,21.55,19.117,64.326,19.976,24.77,25.57,17.57
15.6745,14.8717,18.077,17.2056,31.9718,107.5186,23.3036,104.0853,17.1,15.9,17.1,12.8848,128.2403,12.6848,18.35,21.67,16.49,21.15,18.933,63.707,19.784,24.55,25.34,17.41
15.8795,15.0645,18.3134,17.4287,32.1375,108.076,23.4228,104.6176,17.3,16.09,17.3,13.0237,129.6232,12.8214,18.59,21.95,16.7,21.43,19.135,64.384,19.997,24.69,25.49,17.51
15.9705,15.1503,18.4184,17.5279,32.1551,108.1351,23.435,104.6723,17.41,16.19,17.41,13.119,130.572,12.9152,18.72,22.1,16.81,21.57,19.203,64.614,20.069,24.74,25.54,17.54
15.7892,14.9778,18.2093,17.3284,32.0126,107.6559,23.3306,104.2059,17.17,15.97,17.17,12.9515,128.9045,12.7502,18.19,21.47,16.33,20.96,18.95,63.762,19.805,24.43,25.22,17.32
15.9679,15.1467,18.4154,17.5238,32.387,108.9151,23.6029,105.4223,17.67,16.44,17.67,13.079,130.1733,12.8756,18.5,21.85,16.62,21.32,19.379,65.208,20.255,24.76,25.56,17.56
15.5906,14.7883,17.9803,17.1092,31.7569,106.7961,23.1432,103.3688,17.08,15.88,17.08,12.7522,126.9207,12.5538,17.69,20.89,15.89,20.39,18.863,63.469,19.715,24.22,25,17.17
14.979,14.2061,17.2749,16.4355,30.6405,103.0414,22.3278,99.7268,16.43,15.29,16.43,12.4164,123.5791,12.2231,16.79,19.82,15.08,19.35,18.259,61.439,19.087,23.84,24.61,16.9
