Motilal Oswal Focused 25 Fund (MOF25) - Direct Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,SBI FOCUSED EQUITY FUND - DIRECT PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,SBI FOCUSED EQUITY FUND - REGULAR  PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,Baroda Banking and Financial Services Fund - Plan A - Dividend,Baroda Banking and Financial Services Fund - Plan A - Growth Option,Sundaram Select Focus - Direct Plan - Dividend Option,Sundaram Select Focus - Direct Plan - Growth Option,Sundaram Select Focus-Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,HDFC Focused 30 Fund - DIVIDEND,HDFC Focused 30 Fund - GROWTH,HDFC Focused 30 Fund -Direct Plan - Dividend Option,ICICI Prudential Focused Equity Fund - Direct Plan - Dividend,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,ICICI Prudential Focused Equity Fund - Dividend
15.2427,14.8488,16.4502,16.0206,30.2685,93.319,22.6125,91.8633,16.79,15.62,16.79,14.3393,132.6996,14.2009,14.68,17.33,14.5,17.12,22.175,59.685,22.512,24.1,24.1,19.88
15.2552,14.8604,16.4637,16.0331,29.9904,92.4617,22.4043,91.0176,16.72,15.55,16.72,14.3122,132.4488,14.1739,14.66,17.31,14.48,17.11,21.919,58.996,22.252,24.05,24.04,19.83
15.0609,14.6705,16.254,15.8282,29.8135,91.9163,22.2717,90.4789,16.5,15.35,16.5,14.1953,131.3671,14.0579,14.5,17.12,14.33,16.92,21.719,58.458,22.049,23.87,23.87,19.69
14.7879,14.4028,15.9594,15.5394,29.477,90.8787,22.019,89.4523,16.18,15.05,16.18,13.9558,129.1501,13.8201,14.31,16.9,14.14,16.7,21.249,57.192,21.573,23.59,23.59,19.46
14.8164,14.43,15.9902,15.5688,29.5328,91.0507,22.0602,89.6198,16.45,15.31,16.45,14.0496,130.0184,13.9128,14.47,17.09,14.3,16.89,21.459,57.759,21.787,23.74,23.73,19.58
15.0672,14.6737,16.2608,15.8317,29.841,92.001,22.29,90.5534,16.62,15.46,16.62,14.2003,131.4127,14.0617,14.64,17.28,14.46,17.08,21.729,58.485,22.061,23.97,23.96,19.77
15.2969,14.8968,16.5087,16.0723,30.1457,92.9402,22.5172,91.4763,16.77,15.6,16.77,14.3571,132.8643,14.2169,14.88,17.57,14.7,17.36,21.916,58.989,22.252,24.31,24.31,20.05
15.488,15.0823,16.715,16.2725,30.2081,93.1326,22.5634,91.6639,16.97,15.79,16.97,14.4991,134.1787,14.3573,14.96,17.66,14.78,17.45,22.205,59.767,22.546,24.51,24.51,20.21
15.4436,15.0372,16.667,16.2239,30.4509,93.8811,22.7434,92.3953,16.82,15.64,16.82,14.4302,133.5403,14.2883,14.82,17.49,14.63,17.28,22.198,59.749,22.54,24.42,24.41,20.13
15.6299,15.2174,16.8681,16.4183,30.6898,94.6175,22.9209,93.1164,16.91,15.73,16.91,14.5168,134.3419,14.3737,14.89,17.57,14.7,17.36,22.332,60.109,22.677,24.52,24.52,20.22
